U+5D84	嶄
U+5D87	嶇
U+5D9D	嶝
U+5DBC	嶼
U+5DBA	嶺
U+5DBD	嶽
U+5DCD	巍
U+5DD2	巒
U+5DD4	巔
U+5DD6	巖
U+5DDD	川
U+5DDE	州
U+5DE2	巢
U+5DE5	工
U+5DE8	巨
U+5DE7	巧
U+5DE6	左
U+5DEB	巫
U+5DEE	差
U+5DF1	己
U+5DF2	已
U+5DF3	巳
U+5DF4	巴
U+5DF7	巷
U+5DFD	巽
U+5DFE	巾
U+5E02	市
U+5E03	布
U+5E06	帆
U+5E0C	希
U+5E18	帘
U+5E1A	帚
U+5E16	帖
U+5E1B	帛
U+5E11	帑
U+5E15	帕
U+5E1D	帝
U+5E25	帥
U+5E2D	席
U+5E2B	師
U+5E36	帶
U+5E33	帳
U+5E38	常
U+5E37	帷
U+5E45	幅
U+5E3D	帽
U+5E40	幀
U+5E4C	幌
U+5E5B	幛
U+5E63	幣
U+5E55	幕
U+5E57	幗
U+5E54	幔
U+5E62	幢
U+5E5F	幟
U+5E6B	幫
U+5E72	干
U+5E73	平
U+5E76	并
U+5E74	年
U+5E78	幸
U+5E79	幹
U+5E7A	幺
U+5E7B	幻
U+5E7C	幼
U+5E7D	幽
U+5E7E	幾
U+5E8F	序
U+5E87	庇
U+5E9A	庚
U+5E97	店
U+5E9C	府
U+5E95	底
U+5E96	庖
U+5EA0	庠
U+5EA6	度
U+5EAB	庫
U+5EAD	庭
U+5EA7	座
U+5EB7	康
U+5EB8	庸
U+5EB6	庶
U+5EB5,U+83F4	庵菴
U+5EBE	庾
U+5ECA	廊
U+5EC2	廂
U+5EC1	廁
U+5EC9	廉
U+5EC8	廈
U+5ED3	廓
U+5ED6	廖
U+5EE2	廢
U+5EDA	廚
U+5EDF	廟
U+5EDD	廝
U+5EE3	廣
U+5EE0	廠
U+9F90	龐
U+5EEC	廬
U+5EF3	廳
U+5EF7	廷
U+5EF6	延
U+5EFA	建
U+5EFF	廿
U+5F01	弁
U+5F04	弄
U+5F08	弈
U+5F0A	弊
U+5F0F	式
U+5F11	弑
U+5F13	弓
U+5F14	弔
U+5F15	引
U+5F18	弘
U+5F17	弗
U+5F1B	弛
U+5F1F	弟
U+5F26	弦
U+5F27	弧
U+5F29	弩
U+5F2D	弭
U+5F31	弱
U+5F35	張
U+5F37	強
U+5F3C	弼
U+5F46	彆
U+5F48	彈
U+5F4C	彌
U+5F4E	彎
U+5F57	彗
U+5F59	彙
U+5F5D	彝
U+5F62	形
U+5F64	彤
U+5F65	彥
U+5F6C	彬
U+5F69	彩
U+5F6B	彫
U+5F6D	彭
U+5F70	彰
U+5F71	影
U+5F77	彷
U+5F79	役
U+5F80	往
U+5F81	征
U+5F7F	彿
U+5F7C	彼
U+5F88	很
U+5F85	待
U+5F8B	律
U+5F8A	徊
U+5F87	徇
U+5F8C	後
U+5F92	徒
U+5F91	徑
U+5F90	徐
U+5F97	得
U+5F99	徙
U+5F98	徘
U+5F9E	從
U+5FA1	御
U+5FA9	復
U+5FAA	循
U+5FA8	徨
U+5FAC	徬
U+5FAE	微
U+5FB9	徹
U+5FB7	德
U+5FB5	徵
U+5FBD	徽
U+5FC3	心
U+5FC5	必
U+5FD9	忙
U+5FD6	忖
U+5FD8	忘
U+5FCC	忌
U+5FD7	志
U+5FCD	忍
U+5FF1	忱
U+5FEB	快
U+5FDD	忝
U+5FE0	忠
U+5FFD	忽
U+5FF5	念
U+5FFF	忿
U+6014	怔
U+602F	怯
U+6035	怵
U+6016	怖
U+602A	怪
U+600F	怏
U+6015	怕
U+6027	性
U+6021	怡
U+601D	思
U+6012	怒
U+6020	怠
U+6025	急
U+600E	怎
U+6028	怨
U+6068	恨
U+6062	恢
U+6046	恆
U+6043	恃
U+606C	恬
U+604D	恍
U+606B	恫
U+6070	恰
U+606A	恪
U+6064	恤
U+6059	恙
U+6063	恣
U+6065	恥
U+6050	恐
U+606D	恭
U+6069	恩
U+6055	恕
U+606F	息
U+608C	悌
U+6085,U+60A6	悅悦
U+609F	悟
U+6096	悖
U+609A	悚
U+608D	悍
U+6084	悄
U+6094	悔
U+607F	恿
U+60A3	患
U+6089	悉
U+60A0	悠
U+60A8	您
U+60CB	惋
U+60B4	悴
U+60E6	惦
U+60BD	悽
U+60C5	情
U+60BB	悻
U+60B5	悵
U+60DC	惜
U+60BC	悼
U+60D8	惘
U+60D5	惕
U+60C6	惆
U+60DF	惟
U+60B8	悸
U+60DA	惚
U+60D1	惑
U+60E1	惡
U+60E0	惠
U+60B6	悶
U+60B2	悲
U+611C	愜
U+60F0	惰
U+6168	慨
U+6123	愣
U+60FA	惺
U+6115	愕
U+60FB	惻
U+60F4	惴
U+6120,U+614D	愠慍
U+60F1	惱
U+610E	愎
U+60F6	惶
U+6109	愉
U+6100	愀
U+610F	意
U+60F3	想
U+60F9	惹
U+611A	愚
U+611F	感
U+611B	愛
U+6101	愁
U+6108	愈
U+614E	慎
U+614C	慌
U+6144	慄
U+613E	愾
U+6134	愴
U+6127	愧
U+6148	慈
U+613F	愿
U+6147	慇
U+614B	態
U+5FFC,U+6177	忼慷
U+6173	慳
U+615A	慚
U+6162	慢
U+6163	慣
U+615F	慟
U+6158	慘
U+6176	慶
U+6167	慧
U+615D	慝
U+6155	慕
U+6182	憂
U+6170	慰
U+616E	慮
U+617C	慼
U+616B	慫
U+617E	慾
U+61A7	憧
U+6190	憐
U+618E	憎
U+61AB	憫
